不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
别有用心,用心：居心，打算。心中另有算计。指言论或行动另有不可告人的企图。
惶恐不安,内心害怕，十分不安。
大家闺秀,旧指世家望族中有才德的女子。也泛指有钱有势人家的女儿。
茅塞顿开,茅塞：喻人思路闭塞或不懂事；顿：立刻。原来心里好象有茅草堵塞着，现在忽然被打开了。形容思想忽然开窍，立刻明白了某个道理。
鸡飞蛋打,鸡飞走了，蛋打破了。比喻两头落空，一无所得。
天荒地老,指经历的时间极久。
东奔西窜,同“东逃西窜”。
冥思苦想,绞尽脑汁，苦思苦想。
匹夫匹妇,平民男女。泛指平民。
起承转合,起：开头；承：承接上文加以申述；转：转折；合：结束。泛指文章的做法。也比喻固定呆板的形式。
插翅难飞,插上翅膀也难飞走。比喻陷入困境，怎么也逃不了。
情同手足,手足：比喻兄弟。交情很深，如同兄弟一样。
如法炮制,炮制：用烘、炒等针药材制成中药。本指按照一定的方法制作中药。现比喻照着现成的样子做。
一夫当关,见“一夫当关，万夫莫开”。
披发文身,古代吴越一带和某些南方民族的风俗。头发披散，身刺花纹。
一语道破,道：说；破：揭穿。一句话就说穿了。
终南捷径,指求名利的最近便是门路。也比喻达到目的的便捷途径。
兴风作浪,兴、作：引起。原指神话小说中妖魔鬼怪施展法术掀起风浪。后多比喻煽动情绪，挑起事端。
比比皆是,比比：一个挨一个，引申为处处，到处；皆：全部。形容到处都是，很多
倾盆大雨,雨大得象盆里的水直往下倒。形容雨大势急。
因小失大,为了小的利益，造成大的损失。
火冒三丈,形容愤怒到极点。
招财进宝,招引进财气、财宝。
耳听八方,耳朵同时察听各方面来的声音。形容人很机警。
囤积居奇,囤、居：积聚；奇：稀少的物品。把稀少的货物储藏起来。指商人囤积大量商品，等待高价出卖，牟取暴利。
言笑晏晏,说说笑笑，和柔温顺。
口尚乳臭,嘴里还有奶腥味。表示对年轻人的轻视。
搔首弄姿,搔：用手指梳。形容装腔作势卖弄风情。
行步如飞,走路的步子轻快如飞。亦作“行步如风”、“行疾如飞”、“行走如飞”。
置之死地,有意使人处于无法生存下去的境地。
拉帮结派,拉：拉拢；结：组织。组织帮派，搞小集团活动
名噪一时,指名声传扬于一个时期
见贤思齐,见到德才兼备的人就想赶上他。
立功赎罪,以立功来抵偿罪过。
遁入空门,遁：逃遁；空门：指佛教，因佛教认为世界是一切皆空的。指出家。避开尘世而入佛门。
嫣然一笑,嫣然：笑得很美的样子（指女性）。形容女子笑得很美。
雁过留声,比喻留名声于身后。
轻车简从,行装简单，跟随的人少（多指有地位的人）。
安枕而卧,放好枕头睡大觉。比喻太平无事，不必担忧。
别出心裁,别：另外；心裁：心中的设计、筹划。另有一种构思或设计。指想出的办法与众不同。
有的放矢,的：箭靶子；矢：箭。放箭要对准靶子。比喻说话做事有针对性。
颗粒无收,收：收成。连一粒米也没收获到。多指因灾祸造成绝收。
一至于此,竟到如此地步。
各个击破,各个：逐个；击：攻。军事术语。指利用优势兵力将被分割开的敌军一部分一部分消灭。有时也比喻将问题逐个解决。
怡然自得,怡然：安适愉快的样子。形容高兴而满足的样子。
梅妻鹤子,以梅为妻，以鹤为子。比喻清高或隐居。宋・林逋隐居西湖孤山，植梅养鹤，终生不娶，人谓“梅妻鹤子”。
远见卓识,卓：高超；识：见识。有远大的眼光和卓越的见解。
大材小用,把大的材料当成小的材料用。比喻使用不当，浪费人才。
笔墨官司,比喻用文字进行的辩论、争执。
洞若观火,洞：透彻。形容观察事物非常清楚，好象看火一样。
一丝不苟,苟：苟且，马虎。指做事认真细致，一点儿不马虎。
有所作为,可以做事情，并能取得较大的成绩。
涕泗滂沱,滂沱：雨下得很大。雨下得很大的样子。形容哭得很厉害，眼泪鼻涕象下雨一样。
恶贯满盈,贯：穿线的绳子；盈：满。罪恶之多，犹如穿线一般已穿满一根绳子。形容罪大恶极，到受惩罚的时候了。
浩浩荡荡,原形容水势广大的样子。后形容事物的广阔壮大，或前进的人流声势浩大。
引狼入室,引：招引。把狼招引到室内。比喻把坏人或敌人引入内部。
学海无涯,学海：知识。学问的海洋无边无际。
大吃一惊,形容对发生的事感到十分意外
观望不前,不前：不敢上前。事情尚难确定时，怀着犹豫不定的心情，观察事物的发展，暂不前进。
杀人灭口,杀害证人以毁灭口供
删繁就简,删：除去；就：趋向。去掉繁杂部分，使它趋于简明。
日积月累,一天一天地、一月一月地不断积累。指长时间不断地积累。
壮志未酬,酬：实现。旧指潦倒的一生，志向没有实现就衰老了。也指抱负没有实现就去世了。
放眼世界,放眼：放开眼界，目光不局限在狭小范围内。放开眼界，纵观天下。也作
一差二错,可能发生的意外或差错。
浩然之气,浩：盛大、刚直的样子；气：指精神。指浩大刚正的精神。
甘心情愿,心里完全愿意，没有一点勉强。多指自愿作出某种牺牲。
万古长春,万古：千年万代，永远。永远像春天一样，草木翠绿，生机勃勃。比喻人的精神永远像春天一样毫不衰退或祝愿好事长存。亦作“万古长青”、“万古常青”、“万古常新 
师道尊严,本指老师受到尊敬，他所传授的道理、知识、技能才能得到尊重。后多指为师之道尊贵、庄严。
彼此彼此,指两者比较差不多
奉若神明,奉：信奉；神明：神。崇拜得象迷信者敬神那样。形容对某些人或事物的盲目尊重。
机不可失,机：机会；时：时机。好的时机不可放过，失掉了不会再来
云行雨施,施：施布。比喻广泛施行恩泽。
以泪洗面,指十分伤心，流泪很多 
秉公办理,秉：掌握，主持。公：公法。根据公道办事。
所见略同,所持的见解大致相同。
博闻强志,博：广博；闻：传闻；志：记住，记忆。指见闻广博，记忆力强
坐言起行,坐能言，起能行。原指言论必须切实可行，后比喻说了就做。
罢黜百家,罢黜：废弃不用。原指排除诸子杂说，专门推行儒家学说。也比喻只要一种形式，不要其他形式。
礼仪之邦,礼仪：礼节和仪式；邦：国家。指讲究礼节和仪式的国家
光芒万丈,形容光辉灿烂，照耀到远方。
各抒己见,抒：抒发，发表。各人充分发表自己的意见。
百折不回,折：挫折。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。
兴会淋漓,兴会：兴致；淋漓：酣畅，充盛。形容兴致很高，精神舒畅。
因循守旧,因循：沿袭；守旧：死守老的一套。死守老一套，缺乏创新的精神。
百战百败,指每战必败。
不寒而栗,栗：畏惧，发抖。不冷而发抖。形容非常恐惧。
举世瞩目,全世界的人都注视着。
不欢而散,很不愉快地分手。
酒池肉林,古代传说，殷纣以酒为池，以肉为林，为长夜之饮。原指荒淫腐化、极端奢侈的生活，后也形容酒肉极多。
趁虚而入,趁力量虚弱时侵入。
蛮不讲理,态度粗暴，不讲道理。
出尔反尔,尔：你；反：通“返”，回。原意是你怎样做，就会得到怎样的后果。现指人的言行反复无常，前后自相矛盾。
和睦相处,彼此和好地相处。
失魂丧胆,形容极度恐慌。
以假乱真,以：用；乱：混乱。用假的东西去冒充或混杂真的东西。
如丧考妣,丧：死去；考：已死的父亲；妣：已死的母亲。好象死了父母一样地伤心。
凄风苦雨,凄风：寒冷的风；苦雨：久下成灾的雨。形容天气恶劣。后用来比喻境遇悲惨凄凉。
百端待举,有很多事情等着要兴办。
万籁无声,形容周围环境非常安静，一点儿声响都没有。
海誓山盟,指男女相爱时立下的誓言，爱情要象山和海一样永恒不变。
暗渡陈仓,渡：越过；陈仓：古县名，在今陕西省宝鸡市东。比喻用造假象的手段来达到某种目的。也隐喻男女私通。
四海为家,四海：各地、到处。什么地方都可以当作自己的家。指志在四方，不留恋家乡或个人小天地。
白龙鱼服,白龙化为鱼在渊中游。比喻帝王或大官吏隐藏身分，改装出行。
进退失据,前进和后退都失去了依据。形容无处容身。也指进退两难。
身历其境,亲身来到某个地方
摇身一变,旧时神怪小说中描写有神通的人能用法术一晃身子就改变自己本来的模样。现用来形容人不讲道义原则，一下子来个大改变。
龙马精神,龙马：古代传说中形状象龙的骏马。比喻人精神旺盛。
权衡利弊,权：称砣。衡：称杆。权衡：比较，衡量。比较一下哪一个有利哪一个有害。
仰之弥高,愈仰望愈觉得其崇高。表示极其敬仰之意。
金玉良言,比喻可贵而有价值的劝告。
诛心之论,诛：惩罚。指不问罪行，只根据其用心以认定罪状。也指揭穿动机的评论。
一意孤行,指不接受别人的劝告，顽固地按照自己的主观想法去做。
登堂入室,堂、室：古代宫室，前面是堂，后面是室。登上厅堂，进入内室。比喻学问或技能从浅到深，达到很高的水平。
量体裁衣,按照身材裁剪衣服。比喻按照实际情况办事。
投机倒把,利用时机，以囤积居奇，买空卖空、掺杂作假、操纵物价等方式扰乱市场，牟取暴利。
秋高气爽,形容秋季晴空万里，天气清爽。
张冠李戴,把姓张的帽子戴到姓李的头上。比喻认错了对象，弄错了事实。
乐不可支,支：撑住。快乐到不能撑持的地步。形容欣喜到极点。
顾盼自雄,左看右看，自以为了不起。形容得意忘形的样子。
劫后余生,经历灾难以后幸存下来的生命。
江山如画,山川、河流美如画卷。
据为己有,将别人的东西拿来作为自己的。
十指连心,十个指头连着心。表示身体的每个小部分都跟心有不可分的关系。比喻亲人跟自身休戚相关。
鱼贯而入,象游鱼一样一个跟着一个地接连着走。形容一个接一个地依次序进入。
大难不死,难：灾祸。遇到巨大的灾难而没有死掉。形容幸运地脱险。
步调一致,步调：走路时脚步的大小快慢。比喻行动和谐一致
何乐不为,乐：乐意；为：做。有什么不乐于去做的呢？表示愿意去做。
富国安民,使国家富强，人民安居乐业。
视如敝屣,敝屣：破鞋子。象破烂鞋子一样看待。比喻非常轻视。
茕茕孑立,孤身一人。形容一个人无依无靠，孤苦伶仃。
驽马十驾,原意是骏马一天的路程，驽马虽慢，但努力不懈，走十天也可以到达。比喻智力低的人只要刻苦学习，也能追上资质高的人。
夜郎自大,夜郎：汉代西南地区的一个小国。比喻人无知而又狂妄自大。
雪兆丰年,谓冬天大雪是来年丰收的预兆。
囊括四海,囊括：比喻统统包罗在内。指统一全国。
弱不禁风,禁：承受。形容身体娇弱，连风吹都经受不起。
大做文章,比喻为达到某种目的，在某些问题上横生枝节，或借题发挥，扩大事态
作恶多端,做了许多坏事。指罪恶累累。
千叮万嘱,再三再四地嘱咐。表示对嘱咐的事情极重视。
出师无名,谓没有正当理由而出兵征伐。
